Date;Close;7-Day Moving Avg;3-Day Moving Avg
31/03/2016;744,95;746,75;635,3057143
01/04/2016;749,91;748,4633333;742,4357143
04/04/2016;745,29;746,7166667;743,4685714
05/04/2016;737,80;744,3333333;743,8257143
06/04/2016;745,69;742,9266667;745,5628571
07/04/2016;740,28;741,2566667;744,9214286
08/04/2016;739,15;741,7066667;743,2957143
11/04/2016;736,10;738,51;742,0314286
12/04/2016;743,09;739,4466667;741,0571429
13/04/2016;751,72;743,6366667;741,9757143
14/04/2016;753,20;749,3366667;744,1757143
15/04/2016;759,00;754,64;746,0771429
18/04/2016;766,61;759,6033333;749,8385714
19/04/2016;753,93;759,8466667;751,95
20/04/2016;752,67;757,7366667;754,3171429
21/04/2016;759,14;755,2466667;756,61
22/04/2016;718,77;743,5266667;751,9028571
25/04/2016;723,15;733,6866667;747,61
26/04/2016;708,14;716,6866667;740,3442857
27/04/2016;705,84;712,3766667;731,6628571
28/04/2016;691,02;701,6666667;722,6757143
29/04/2016;693,01;696,6233333;714,1528571
02/05/2016;698,21;694,08;705,4485714
03/05/2016;692,36;694,5266667;701,6757143
04/05/2016;695,70;695,4233333;697,7542857
05/05/2016;701,43;696,4966667;696,7957143
06/05/2016;711,12;702,75;697,55
09/05/2016;712,90;708,4833333;700,6757143
10/05/2016;723,18;715,7333333;704,9857143
11/05/2016;715,29;717,1233333;707,4257143
12/05/2016;713,31;717,26;710,4185714
13/05/2016;710,83;713,1433333;712,58
16/05/2016;716,49;713,5433333;714,7314286
17/05/2016;706,23;711,1833333;714,0328571
18/05/2016;706,63;709,7833333;713,1371429
19/05/2016;700,32;704,3933333;709,8714286
20/05/2016;709,74;705,5633333;709,0785714
23/05/2016;704,24;704,7666667;707,7828571
24/05/2016;720,09;711,3566667;709,1057143
25/05/2016;725,27;716,5333333;710,36
26/05/2016;724,12;723,16;712,9157143
27/05/2016;732,66;727,35;716,6342857
31/05/2016;735,72;730,8333333;721,6914286
01/06/2016;734,15;734,1766667;725,1785714
02/06/2016;730,40;733,4233333;728,9157143
03/06/2016;722,34;728,9633333;729,2371429
06/06/2016;716,55;723,0966667;727,9914286
07/06/2016;716,65;718,5133333;726,9242857
08/06/2016;728,28;720,4933333;726,2985714
09/06/2016;728,58;724,5033333;725,2785714
10/06/2016;719,41;725,4233333;723,1728571
13/06/2016;718,36;722,1166667;721,4528571
14/06/2016;718,27;718,68;720,8714286
15/06/2016;718,92;718,5166667;721,21
16/06/2016;710,36;715,85;720,3114286
17/06/2016;691,72;707;715,0885714
20/06/2016;693,71;698,5966667;710,1071429
21/06/2016;695,94;693,79;706,7542857
22/06/2016;697,46;695,7033333;703,7685714
23/06/2016;701,87;698,4233333;701,4257143
24/06/2016;675,22;691,5166667;695,1828571
27/06/2016;668,26;681,7833333;689,1685714
28/06/2016;680,04;674,5066667;687,5
29/06/2016;684,11;677,47;686,1285714